method,seed,bits,noise_std,mse_interp,mse_extrap,l_physics,train_s
D_AdaPINN,1,2,0.1,0.009521188214421272,0.018060149624943733,0.051149677485227585,13.738012552261353
D_AdaPINN,1,4,0.0,0.03415147215127945,0.026208961382508278,0.07837770879268646,13.738012552261353
D_AdaPINN,1,4,0.05,0.031612519174814224,0.027010602876544,0.061047960072755814,13.738012552261353
D_AdaPINN,1,4,0.1,0.027947604656219482,0.028424646705389023,0.045988138765096664,13.738012552261353
D_AdaPINN,1,6,0.0,0.028444133698940277,0.020439064130187035,0.056413523852825165,13.738012552261353
D_AdaPINN,1,6,0.05,0.026478512212634087,0.02056746557354927,0.044752076268196106,13.738012552261353
D_AdaPINN,1,6,0.1,0.02426084503531456,0.020604247227311134,0.036977291107177734,13.738012552261353
D_AdaPINN,1,8,0.0,0.027481310069561005,0.020528636872768402,0.0553896389901638,13.738012552261353
D_AdaPINN,1,8,0.05,0.025514541193842888,0.020690366625785828,0.04398101940751076,13.738012552261353
D_AdaPINN,1,8,0.1,0.023247573524713516,0.020796185359358788,0.03629292547702789,13.738012552261353
D_AdaPINN,2,2,0.0,0.08933020383119583,0.13299530744552612,0.44103285670280457,13.340235710144043
D_AdaPINN,2,2,0.05,0.09070562571287155,0.1341698318719864,0.3237886428833008,13.340235710144043
D_AdaPINN,2,2,0.1,0.08976474404335022,0.1388617306947708,0.23846425116062164,13.340235710144043
D_AdaPINN,2,4,0.0,0.0068859742023050785,0.010807863436639309,0.015393589623272419,13.340235710144043
D_AdaPINN,2,4,0.05,0.00768648087978363,0.01052218396216631,0.01983131654560566,13.340235710144043
D_AdaPINN,2,4,0.1,0.009462355636060238,0.010569100268185139,0.05180477350950241,13.340235710144043
D_AdaPINN,2,6,0.0,0.00936643872410059,0.009154397994279861,0.01376916840672493,13.340235710144043
D_AdaPINN,2,6,0.05,0.01003268826752901,0.009087571874260902,0.030380792915821075,13.340235710144043
D_AdaPINN,2,6,0.1,0.01201564446091652,0.009268436580896378,0.0733097493648529,13.340235710144043
D_AdaPINN,2,8,0.0,0.009915581904351711,0.009032605215907097,0.014151479117572308,13.340235710144043
D_AdaPINN,2,8,0.05,0.010534372180700302,0.008985066786408424,0.03279045969247818,13.340235710144043
D_AdaPINN,2,8,0.1,0.012517510913312435,0.009184710681438446,0.0782853439450264,13.340235710144043
D_AdaPINN,3,2,0.0,0.004553643055260181,0.046619024127721786,0.09975502640008926,11.534718036651611
D_AdaPINN,3,2,0.05,0.0052644251845777035,0.043343473225831985,0.07925479859113693,11.534718036651611
D_AdaPINN,3,2,0.1,0.0069053941406309605,0.041461896151304245,0.06605266034603119,11.534718036651611
D_AdaPINN,3,4,0.0,0.009867829270660877,0.019538728520274162,0.03055095672607422,11.534718036651611
D_AdaPINN,3,4,0.05,0.010987063869833946,0.018079016357660294,0.026416294276714325,11.534718036651611
D_AdaPINN,3,4,0.1,0.013678415678441525,0.017006680369377136,0.026517510414123535,11.534718036651611
D_AdaPINN,3,6,0.0,0.010566974990069866,0.01743217743933201,0.026309140026569366,11.534718036651611
D_AdaPINN,3,6,0.05,0.011771597899496555,0.016200046986341476,0.024195140227675438,11.534718036651611
D_AdaPINN,3,6,0.1,0.014793286100029945,0.015189670026302338,0.025761717930436134,11.534718036651611
D_AdaPINN,3,8,0.0,0.009080150164663792,0.02038409560918808,0.03236568719148636,11.534718036651611
D_AdaPINN,3,8,0.05,0.01015535369515419,0.01890208199620247,0.028062133118510246,11.534718036651611
D_AdaPINN,3,8,0.1,0.012837252579629421,0.017861157655715942,0.02781900390982628,11.534718036651611
D_AdaPINN,4,2,0.0,0.22013121843338013,0.20370760560035706,0.7883433103561401,11.123838901519775
D_AdaPINN,4,2,0.05,0.23301199078559875,0.20205172896385193,0.8050216436386108,11.123838901519775
D_AdaPINN,4,2,0.1,0.2540174722671509,0.1893969476222992,0.8159309029579163,11.123838901519775
D_AdaPINN,4,4,0.0,0.026619212701916695,0.009175043553113937,0.031190576031804085,11.123838901519775
D_AdaPINN,4,4,0.05,0.031167203560471535,0.010393551550805569,0.049621693789958954,11.123838901519775
D_AdaPINN,4,4,0.1,0.03961849585175514,0.012264765799045563,0.07980286329984665,11.123838901519775
D_AdaPINN,4,6,0.0,0.018586289137601852,0.009905251674354076,0.022430406883358955,11.123838901519775
D_AdaPINN,4,6,0.05,0.021703870967030525,0.011389958672225475,0.03597412258386612,11.123838901519775
D_AdaPINN,4,6,0.1,0.028171468526124954,0.013755767606198788,0.06157466769218445,11.123838901519775
D_AdaPINN,4,8,0.0,0.017003096640110016,0.010616831481456757,0.022581547498703003,11.123838901519775
D_AdaPINN,4,8,0.05,0.019922645762562752,0.012248175218701363,0.036845672875642776,11.123838901519775
D_AdaPINN,4,8,0.1,0.02607828564941883,0.015091207809746265,0.06385083496570587,11.123838901519775
